resolution_time,name,configuration,mention_time
NA,angular,Random-issues,NA
50,angular,Random-issues,NA
80,angular,Random-issues,NA
38,angular,Random-issues,NA
1675,angular,Random-issues,NA
NA,angular,Random-issues,NA
3573,angular,Random-issues,NA
321,angular,Random-issues,NA
4,angular,Random-issues,NA
NA,angular,Random-issues,NA
165,angular,Random-issues,NA
37,angular,Random-issues,NA
12,angular,Random-issues,NA
6,angular,Random-issues,NA
57,angular,Random-issues,NA
0,angular,Random-issues,NA
0,angular,Random-issues,NA
0,angular,Random-issues,NA
1107,angular,Random-issues,NA
0,angular,Random-issues,NA
910,angular,Random-issues,NA
49,angular,Random-issues,NA
1672,angular,Random-issues,NA
3,angular,Random-issues,NA
6,angular,Random-issues,NA
NA,angular,Random-issues,NA
3,angular,Random-issues,NA
1,angular,Random-issues,NA
16,angular,Random-issues,NA
221,angular,Random-issues,NA
55,angular,Random-issues,NA
10613,angular,Random-issues,NA
4824,angular,Random-issues,NA
16,angular,Random-issues,NA
5171,angular,Random-issues,NA
0,angular,Random-issues,NA
6,angular,Random-issues,NA
10,angular,Random-issues,NA
7,angular,Random-issues,NA
1,angular,Random-issues,NA
73,angular,Random-issues,NA
3938,angular,Random-issues,NA
873,angular,Random-issues,NA
0,angular,Random-issues,NA
290,angular,Random-issues,NA
2,angular,Random-issues,NA
0,angular,Random-issues,NA
1,angular,Random-issues,NA
1990,angular,Random-issues,NA
1,angular,Random-issues,NA
290,angular,Random-issues,NA
NA,angular,Random-issues,NA
2,angular,Random-issues,NA
13,angular,Random-issues,NA
NA,angular,Random-issues,NA
809,angular,Random-issues,NA
0,angular,Random-issues,NA
2860,angular,Random-issues,NA
2058,angular,Random-issues,NA
0,angular,Random-issues,NA
1,angular,Random-issues,NA
45,angular,Random-issues,NA
NA,angular,Random-issues,NA
474,angular,Random-issues,NA
10732,angular,Random-issues,NA
6615,angular,Random-issues,NA
18,angular,Random-issues,NA
2,angular,Random-issues,NA
2,angular,Random-issues,NA
6229,angular,Random-issues,NA
27,angular,Random-issues,NA
1,angular,Random-issues,NA
340,angular,Random-issues,NA
0,angular,Random-issues,NA
3731,angular,Random-issues,NA
5,angular,Random-issues,NA
2,angular,Random-issues,NA
191,angular,Random-issues,NA
84,angular,Random-issues,NA
NA,angular,Random-issues,NA
50,angular,Random-issues,NA
1295,angular,Random-issues,NA
NA,angular,Random-issues,NA
75,angular,Random-issues,NA
552,angular,Random-issues,NA
983,angular,Random-issues,NA
0,angular,Random-issues,NA
0,angular,Random-issues,NA
0,angular,Random-issues,NA
1,angular,Random-issues,NA
27,angular,Random-issues,NA
79,angular,Random-issues,NA
1194,angular,Random-issues,NA
NA,angular,Random-issues,NA
29,angular,Random-issues,NA
79,angular,Random-issues,NA
195,angular,Random-issues,NA
46,angular,Random-issues,NA
18,angular,Random-issues,NA
8,angular,Random-issues,NA
97,angular,Random-issues,NA
1,angular,Random-issues,NA
3,angular,Random-issues,NA
8291,angular,Random-issues,NA
2167,angular,Random-issues,NA
4,angular,Random-issues,NA
0,angular,Random-issues,NA
3,angular,Random-issues,NA
302,angular,Random-issues,NA
3,angular,Random-issues,NA
12,angular,Random-issues,NA
NA,angular,Random-issues,NA
21,angular,Random-issues,NA
1251,angular,Random-issues,NA
21,angular,Random-issues,NA
55,angular,Random-issues,NA
5,angular,Random-issues,NA
13203,angular,Random-issues,NA
1264,angular,Random-issues,NA
1,angular,Random-issues,NA
13642,angular,Random-issues,NA
24,angular,Random-issues,NA
504,angular,Random-issues,NA
1,angular,Random-issues,NA
11,angular,Random-issues,NA
989,angular,Random-issues,NA
2742,angular,Random-issues,NA
NA,angular,Random-issues,NA
0,angular,Random-issues,NA
3,angular,Random-issues,NA
6638,angular,Random-issues,NA
0,angular,Random-issues,NA
0,angular,Random-issues,NA
2922,angular,Random-issues,NA
0,angular,Random-issues,NA
277,angular,Random-issues,NA
1373,angular,Random-issues,NA
0,angular,Random-issues,NA
19,angular,Random-issues,NA
50,angular,Random-issues,NA
4,angular,Random-issues,NA
10044,angular,Random-issues,NA
3,angular,Random-issues,NA
1,angular,Random-issues,NA
0,angular,Random-issues,NA
8,angular,Random-issues,NA
158,angular,Random-issues,NA
13,angular,Random-issues,NA
4093,angular,Random-issues,NA
0,angular,Random-issues,NA
8,angular,Random-issues,NA
31,angular,Random-issues,NA
14,angular,Random-issues,NA
1355,angular,Random-issues,NA
4,angular,Random-issues,NA
55,angular,Random-issues,NA
3242,angular,Random-issues,NA
NA,angular,Random-issues,NA
2555,angular,Random-issues,NA
670,angular,Random-issues,NA
2938,angular,Random-issues,NA
3,angular,Random-issues,NA
5,angular,Random-issues,NA
999,angular,Random-issues,NA
735,angular,Random-issues,NA
4,angular,Random-issues,NA
2,angular,Random-issues,NA
37,angular,Random-issues,NA
1,angular,Random-issues,NA
1514,angular,Random-issues,NA
34,angular,Random-issues,NA
5,angular,Random-issues,NA
21,angular,Random-issues,NA
52,angular,Random-issues,NA
21,angular,Random-issues,NA
470,angular,Random-issues,NA
5281,angular,Random-issues,NA
1247,angular,Random-issues,NA
484,angular,Random-issues,NA
1,angular,Random-issues,NA
31,angular,Random-issues,NA
29,angular,Random-issues,NA
3459,angular,Random-issues,NA
0,angular,Random-issues,NA
0,angular,Random-issues,NA
10,angular,Random-issues,NA
2641,angular,Random-issues,NA
10,angular,Random-issues,NA
NA,angular,Random-issues,NA
3,angular,Random-issues,NA
1342,angular,Random-issues,NA
8072,angular,Random-issues,NA
209,angular,Random-issues,NA
42,angular,Random-issues,NA
75,angular,Random-issues,NA
68,angular,Random-issues,NA
1,angular,Random-issues,NA
NA,angular,Random-issues,NA
4766,angular,Random-issues,NA
2,angular,Random-issues,NA
8903,angular,Random-issues,NA
843,angular,Random-issues,NA
2962,angular,Random-issues,NA
10,angular,Random-issues,NA
NA,angular,Random-issues,NA
0,angular,Random-issues,NA
70,angular,Random-issues,NA
437,angular,Random-issues,NA
1174,angular,Random-issues,NA
282,angular,Random-issues,NA
5,angular,Random-issues,NA
105,angular,Random-issues,NA
112,angular,Random-issues,NA
NA,angular,Random-issues,NA
1614,angular,Random-issues,NA
73,angular,Random-issues,NA
4,angular,Random-issues,NA
1164,angular,Random-issues,NA
674,angular,Random-issues,NA
272,angular,Random-issues,NA
6,angular,Random-issues,NA
17,angular,Random-issues,NA
12452,angular,Random-issues,NA
17,angular,Random-issues,NA
NA,angular,Random-issues,NA
3646,angular,Random-issues,NA
1581,angular,Random-issues,NA
257,angular,Random-issues,NA
23,angular,Random-issues,NA
0,angular,Random-issues,NA
NA,angular,Random-issues,NA
123,angular,Random-issues,NA
1,angular,Random-issues,NA
6,angular,Random-issues,NA
1529,angular,Random-issues,NA
1086,angular,Random-issues,NA
174,angular,Random-issues,NA
3,angular,Random-issues,NA
50,angular,Random-issues,NA
13,angular,Random-issues,NA
3201,angular,Random-issues,NA
7,angular,Random-issues,NA
9170,angular,Random-issues,NA
2654,angular,Random-issues,NA
NA,angular,Random-issues,NA
21,angular,Random-issues,NA
79,angular,Random-issues,NA
8,angular,Random-issues,NA
71,angular,Random-issues,NA
13080,angular,Random-issues,NA
4,angular,Random-issues,NA
0,angular,Random-issues,NA
1,angular,Random-issues,NA
156,angular,Random-issues,NA
2567,angular,Random-issues,NA
3409,angular,Random-issues,NA
99,angular,Random-issues,NA
NA,angular,Random-issues,NA
NA,angular,Random-issues,NA
31,angular,Random-issues,NA
102,angular,Random-issues,NA
2139,angular,Random-issues,NA
1,angular,Random-issues,NA
117,angular,Random-issues,NA
203,angular,Random-issues,NA
2,angular,Random-issues,NA
527,angular,Random-issues,NA
NA,angular,Random-issues,NA
261,angular,Random-issues,NA
86,angular,Random-issues,NA
206,angular,Random-issues,NA
1,angular,Random-issues,NA
1,angular,Random-issues,NA
NA,angular,Random-issues,NA
133,angular,Random-issues,NA
9069,angular,Random-issues,NA
8,angular,Random-issues,NA
124,angular,Random-issues,NA
NA,angular,Random-issues,NA
81,angular,Random-issues,NA
NA,angular,Random-issues,NA
95,angular,Random-issues,NA
113,angular,Random-issues,NA
25,angular,Random-issues,NA
9,angular,Random-issues,NA
180,angular,Random-issues,NA
2,angular,Random-issues,NA
8043,angular,Random-issues,NA
1300,angular,Random-issues,NA
9,angular,Random-issues,NA
149,angular,Random-issues,NA
2,angular,Random-issues,NA
390,angular,Random-issues,NA
2635,angular,Random-issues,NA
1,angular,Random-issues,NA
71,angular,Random-issues,NA
316,angular,Random-issues,NA
2361,angular,Random-issues,NA
600,angular,Random-issues,NA
33,angular,Random-issues,NA
606,angular,Random-issues,NA
17,angular,Random-issues,NA
2,angular,Random-issues,NA
0,angular,Random-issues,NA
414,angular,Random-issues,NA
4258,angular,Random-issues,NA
56,angular,Random-issues,NA
124,angular,Random-issues,NA
16,angular,Random-issues,NA
18,angular,Random-issues,NA
282,angular,Random-issues,NA
1,angular,Random-issues,NA
57,angular,Random-issues,NA
133,angular,Random-issues,NA
22,angular,Random-issues,NA
0,angular,Random-issues,NA
277,angular,Random-issues,NA
58,angular,Random-issues,NA
74,angular,Random-issues,NA
1,angular,Random-issues,NA
1776,angular,Random-issues,NA
NA,angular,Random-issues,NA
3,angular,Random-issues,NA
NA,angular,Random-issues,NA
NA,angular,Random-issues,NA
3,angular,Random-issues,NA
7,angular,Random-issues,NA
2383,angular,Random-issues,NA
1,angular,Random-issues,NA
3,angular,Random-issues,NA
188,angular,Random-issues,NA
157,angular,Random-issues,NA
NA,angular,Random-issues,NA
NA,angular,Random-issues,NA
50,angular,Random-issues,NA
288,angular,Random-issues,NA
152,angular,Random-issues,NA
2,angular,Random-issues,NA
609,angular,Random-issues,NA
2,angular,Random-issues,NA
2327,angular,Random-issues,NA
NA,angular,Random-issues,NA
200,angular,Random-issues,NA
29,angular,Random-issues,NA
1412,angular,Random-issues,NA
31,angular,Random-issues,NA
1,angular,Random-issues,NA
180,angular,Random-issues,NA
359,angular,Random-issues,NA
169,angular,Random-issues,NA
NA,angular,Random-issues,NA
1,angular,Random-issues,NA
65,angular,Random-issues,NA
522,angular,Random-issues,NA
5271,angular,Random-issues,NA
0,angular,Random-issues,NA
119,angular,Random-issues,NA
1,angular,Random-issues,NA
70,angular,Random-issues,NA
14,angular,Random-issues,NA
1397,angular,Random-issues,NA
423,angular,Random-issues,NA
100,angular,Random-issues,NA
13,angular,Random-issues,NA
5639,angular,Random-issues,NA
3683,angular,Random-issues,NA
3,angular,Random-issues,NA
23,angular,Random-issues,NA
336,angular,Random-issues,NA
191,angular,Random-issues,NA
1,angular,Random-issues,NA
NA,angular,Random-issues,NA
0,angular,Random-issues,NA
