"","resolution_time","name","configuration"
"809",NA,"angular","Random"
"810",0,"angular","Random"
"811",70,"angular","Random"
"812",437,"angular","Random"
"813",1174,"angular","Random"
"814",282,"angular","Random"
"815",5,"angular","Random"
"816",105,"angular","Random"
"817",112,"angular","Random"
"818",NA,"angular","Random"
"819",1614,"angular","Random"
"820",73,"angular","Random"
"821",4,"angular","Random"
"822",1164,"angular","Random"
"823",674,"angular","Random"
"824",272,"angular","Random"
"825",6,"angular","Random"
"826",17,"angular","Random"
"827",12452,"angular","Random"
"828",17,"angular","Random"
"829",NA,"angular","Random"
"830",3646,"angular","Random"
"831",1581,"angular","Random"
"832",257,"angular","Random"
"833",23,"angular","Random"
"834",0,"angular","Random"
"835",NA,"angular","Random"
"836",123,"angular","Random"
"837",1,"angular","Random"
"838",6,"angular","Random"
"839",1529,"angular","Random"
"840",1086,"angular","Random"
"841",174,"angular","Random"
"842",3,"angular","Random"
"843",50,"angular","Random"
"844",13,"angular","Random"
"845",3201,"angular","Random"
"846",7,"angular","Random"
"847",9170,"angular","Random"
"848",2654,"angular","Random"
"849",NA,"angular","Random"
"850",21,"angular","Random"
"851",79,"angular","Random"
"852",8,"angular","Random"
"853",71,"angular","Random"
"854",13080,"angular","Random"
"855",4,"angular","Random"
"856",0,"angular","Random"
"857",1,"angular","Random"
"858",156,"angular","Random"
"859",2567,"angular","Random"
"860",3409,"angular","Random"
"861",99,"angular","Random"
"862",NA,"angular","Random"
"863",NA,"angular","Random"
"864",31,"angular","Random"
"865",102,"angular","Random"
"866",2139,"angular","Random"
"867",1,"angular","Random"
"868",117,"angular","Random"
"869",203,"angular","Random"
"870",2,"angular","Random"
"871",527,"angular","Random"
"872",NA,"angular","Random"
"873",261,"angular","Random"
"874",86,"angular","Random"
"875",206,"angular","Random"
"876",1,"angular","Random"
"877",1,"angular","Random"
"878",NA,"angular","Random"
"879",133,"angular","Random"
"880",9069,"angular","Random"
"881",8,"angular","Random"
"882",124,"angular","Random"
"883",NA,"angular","Random"
"884",81,"angular","Random"
"885",NA,"angular","Random"
"886",95,"angular","Random"
"887",113,"angular","Random"
"888",25,"angular","Random"
"889",9,"angular","Random"
"890",180,"angular","Random"
"891",2,"angular","Random"
"892",8043,"angular","Random"
"893",1300,"angular","Random"
"894",9,"angular","Random"
"895",149,"angular","Random"
"896",2,"angular","Random"
"897",390,"angular","Random"
"898",2635,"angular","Random"
"899",1,"angular","Random"
"900",71,"angular","Random"
"901",316,"angular","Random"
"902",2361,"angular","Random"
"903",600,"angular","Random"
"904",33,"angular","Random"
"905",606,"angular","Random"
"906",17,"angular","Random"
"907",2,"angular","Random"
"908",0,"angular","Random"
"909",414,"angular","Random"
"910",4258,"angular","Random"
"911",56,"angular","Random"
"912",124,"angular","Random"
"913",16,"angular","Random"
"914",18,"angular","Random"
"915",282,"angular","Random"
"916",1,"angular","Random"
"917",57,"angular","Random"
"918",133,"angular","Random"
"919",22,"angular","Random"
"920",0,"angular","Random"
"921",277,"angular","Random"
"922",58,"angular","Random"
"923",74,"angular","Random"
"924",1,"angular","Random"
"925",1776,"angular","Random"
"926",NA,"angular","Random"
"927",3,"angular","Random"
"928",NA,"angular","Random"
"929",NA,"angular","Random"
"930",3,"angular","Random"
"931",7,"angular","Random"
"932",2383,"angular","Random"
"933",1,"angular","Random"
"934",3,"angular","Random"
"935",188,"angular","Random"
"936",157,"angular","Random"
"937",NA,"angular","Random"
"938",NA,"angular","Random"
"939",50,"angular","Random"
"940",288,"angular","Random"
"941",152,"angular","Random"
"942",2,"angular","Random"
"943",609,"angular","Random"
"944",2,"angular","Random"
"945",2327,"angular","Random"
"946",NA,"angular","Random"
"947",200,"angular","Random"
"948",29,"angular","Random"
"949",1412,"angular","Random"
"950",31,"angular","Random"
"951",1,"angular","Random"
"952",180,"angular","Random"
"953",359,"angular","Random"
"954",169,"angular","Random"
"955",NA,"angular","Random"
"956",1,"angular","Random"
"957",65,"angular","Random"
"958",522,"angular","Random"
"959",5271,"angular","Random"
"960",0,"angular","Random"
"961",119,"angular","Random"
"962",1,"angular","Random"
"963",70,"angular","Random"
"964",14,"angular","Random"
"965",1397,"angular","Random"
"966",423,"angular","Random"
"967",100,"angular","Random"
"968",13,"angular","Random"
"969",5639,"angular","Random"
"970",3683,"angular","Random"
"971",3,"angular","Random"
"972",23,"angular","Random"
"973",336,"angular","Random"
"974",191,"angular","Random"
"975",1,"angular","Random"
"976",NA,"angular","Random"
"977",0,"angular","Random"
"978",71,"angular","Random"
"979",373,"angular","Random"
"980",5,"angular","Random"
"981",2,"angular","Random"
"982",730,"angular","Random"
"983",11,"angular","Random"
"984",1162,"angular","Random"
"985",343,"angular","Random"
"986",17,"angular","Random"
"987",5,"angular","Random"
"988",NA,"angular","Random"
"989",390,"angular","Random"
"990",165,"angular","Random"
"991",25,"angular","Random"
"992",1050,"angular","Random"
"993",NA,"angular","Random"
"994",0,"angular","Random"
"995",769,"angular","Random"
"996",139,"angular","Random"
"997",456,"angular","Random"
"998",2,"angular","Random"
"999",23,"angular","Random"
"1000",2,"angular","Random"
"1001",2366,"angular","Random"
"1002",NA,"angular","Random"
"1003",92,"angular","Random"
"1004",174,"angular","Random"
"1005",0,"angular","Random"
"1006",3380,"angular","Random"
"1007",4,"angular","Random"
"1008",1,"angular","Random"
"1009",5,"angular","Random"
"1010",0,"angular","Random"
"1011",172,"angular","Random"
"1012",NA,"angular","Random"
"1013",27,"angular","Random"
"1014",6,"angular","Random"
"1015",292,"angular","Random"
"1016",803,"angular","Random"
"1017",1,"angular","Random"
"1018",19,"angular","Random"
"1019",541,"angular","Random"
"1020",648,"angular","Random"
"1021",16,"angular","Random"
"1022",2688,"angular","Random"
"1023",1235,"angular","Random"
"1024",65,"angular","Random"
"1025",1,"angular","Random"
"1026",11,"angular","Random"
"1027",48,"angular","Random"
"1028",19,"angular","Random"
"1029",413,"angular","Random"
"1030",24,"angular","Random"
"1031",1,"angular","Random"
"1032",1358,"angular","Random"
"1033",NA,"angular","Random"
"1034",NA,"angular","Random"
"1035",NA,"angular","Random"
"1036",12,"angular","Random"
"1037",12712,"angular","Random"
"1038",2,"angular","Random"
"1039",7221,"angular","Random"
"1040",217,"angular","Random"
"1041",1371,"angular","Random"
"1042",1413,"angular","Random"
"1043",NA,"angular","Random"
"1044",19,"angular","Random"
"1045",4,"angular","Random"
"1046",579,"angular","Random"
"1047",4130,"angular","Random"
"1048",NA,"angular","Random"
