issuenumber,resolution_time,room,configuration
11300,229,angular,Random
11314,2388,angular,Random
11329,11,angular,Random
11376,8468,angular,Random
11407,35,angular,Random
11443,24,angular,Random
11495,0,angular,Random
11505,1,angular,Random
11516,37,angular,Random
11527,7,angular,Random
11540,0,angular,Random
11550,0,angular,Random
11565,6,angular,Random
11634,17,angular,Random
11644,12,angular,Random
11647,10920,angular,Random
11649,42,angular,Random
11650,0,angular,Random
11682,NA,angular,Random
11683,1152,angular,Random
11692,987,angular,Random
11700,NA,angular,Random
11710,5,angular,Random
11723,0,angular,Random
11740,6648,angular,Random
11746,3154,angular,Random
11752,0,angular,Random
11753,0,angular,Random
11763,NA,angular,Random
11768,914,angular,Random
11788,6,angular,Random
11791,0,angular,Random
11809,840,angular,Random
11812,311,angular,Random
11833,0,angular,Random
11849,887,angular,Random
11854,438,angular,Random
11883,6,angular,Random
11888,1,angular,Random
11890,0,angular,Random
11897,13,angular,Random
11898,9,angular,Random
11900,3,angular,Random
11922,0,angular,Random
11933,0,angular,Random
11939,2,angular,Random
11966,0,angular,Random
11972,10,angular,Random
12004,489,angular,Random
12030,3,angular,Random
12076,6242,angular,Random
12080,50,angular,Random
12082,48,angular,Random
12113,1,angular,Random
12114,0,angular,Random
12120,1,angular,Random
12155,25,angular,Random
12163,2,angular,Random
12169,18191,angular,Random
12170,0,angular,Random
12192,2,angular,Random
12197,1,angular,Random
12201,1515,angular,Random
12235,0,angular,Random
12236,0,angular,Random
12240,0,angular,Random
12241,NA,angular,Random
12252,NA,angular,Random
12265,30,angular,Random
12266,118,angular,Random
12271,0,angular,Random
12273,2,angular,Random
12281,0,angular,Random
12287,15,angular,Random
12293,7,angular,Random
12301,22,angular,Random
12341,NA,angular,Random
12344,610,angular,Random
12398,NA,angular,Random
12422,164,angular,Random
12441,1,angular,Random
12448,0,angular,Random
12450,3,angular,Random
12452,612,angular,Random
12487,1,angular,Random
12499,NA,angular,Random
12531,23,angular,Random
12544,20362,angular,Random
12560,10044,angular,Random
12562,0,angular,Random
12582,468,angular,Random
12583,94,angular,Random
12591,5,angular,Random
12680,110,angular,Random
12690,149,angular,Random
12691,NA,angular,Random
12737,8,angular,Random
12744,47,angular,Random
12745,0,angular,Random
12747,85,angular,Random
12750,10,angular,Random
12757,19,angular,Random
12765,NA,angular,Random
12777,13472,angular,Random
12787,1145,angular,Random
