displayName,username,sent,repo,number
Zakassali,Zakassali,2017-02-24T14:02:24.551Z,vuejs/vue,2436
Mike Erickson,mikeerickson,2017-02-25T01:39:04.047Z,vuejs/vue,5004
andreas,andreasvirkus,2017-02-28T09:22:17.437Z,vuejs/vue,2756
andreas,andreasvirkus,2017-02-28T09:23:24.287Z,vuejs/vue,2873
Renato Zuma,rzb,2017-02-28T17:58:51.695Z,vuejs/vue,2382
gustojs,gustojs,2017-02-28T21:46:18.473Z,vuejs/vue,4044
Scott,smolinari,2017-03-03T13:40:04.993Z,vuejs/vue,4779
Tommy,tyurderi,2017-03-03T18:57:37.474Z,vuejs/vue,5087
vetcovetco,vetcovetco,2017-03-07T21:30:43.455Z,vuejs/vue,3028
Bill Criswell,crswll,2017-03-07T22:15:04.358Z,vuejs/vue,1153
Shaw,shshaw,2017-03-08T21:04:16.485Z,vuejs/vue,4485
Dariusz Sikorski,dariuszsikorski,2017-03-09T12:40:46.867Z,vuejs/vue,2756
Gabriel,tatsuhirosatou,2017-03-12T16:14:01.561Z,vuejs/vue,1992
Jason Mosley,Pagewaiter,2017-03-14T14:51:30.800Z,vuejs/vue,3347
Bill Criswell,crswll,2017-03-14T19:28:10.463Z,vuejs/vue,2873
Bill Criswell,crswll,2017-03-16T18:03:21.637Z,vuejs/vue,2217
Dan Remollino,danremollino_twitter,2017-03-24T03:48:57.500Z,vuejs/vue,3907
Tom,joltmode,2017-03-27T14:40:30.343Z,vuejs/vue,2410
Ante Sepic,OriginalEXE,2017-03-30T15:06:27.843Z,vuejs/vue,1964
Joe Dawson,JoeDawson,2017-04-08T15:33:42.329Z,vuejs/vue,5192
Muhammad Ubaid Raza,mubaidr,2017-04-13T04:58:41.036Z,vuejs/vue,2873
sxzy,sxzy,2017-04-25T05:44:01.468Z,vuejs/vue,3869
Johnny,dajohnny,2017-04-25T06:41:49.404Z,vuejs/vue,5511
Johnny,dajohnny,2017-04-25T07:10:46.287Z,vuejs/vue,5511
coderabsolute,coderabsolute,2017-04-26T14:12:18.782Z,vuejs/vue,3406
kyoukhana,kyoukhana,2017-04-26T14:40:00.078Z,vuejs/vue,3406
Bill Criswell,crswll,2017-05-01T17:07:21.147Z,vuejs/vue,1036
Bill Criswell,crswll,2017-05-02T18:19:19.392Z,vuejs/vue,5578
mcdong,mcdongWang,2017-05-09T09:21:04.650Z,vuejs/vue,5592
skchrko,skchrko,2017-05-09T12:45:16.713Z,vuejs/vue,674
Lucas Verney,Phyks,2017-05-09T15:29:48.691Z,vuejs/vue,3135
Ian Patel,ian-patel,2017-05-19T02:44:33.149Z,vuejs/vue,5702
Mihail Malo,qm3ster,2017-05-19T20:08:14.869Z,vuejs/vue,5302
Thomas Deinhamer,thasmo,2017-05-20T10:55:56.237Z,vuejs/vue,5715
Dariusz Sikorski,dariuszsikorski,2017-05-24T11:52:19.745Z,vuejs/vue,5739
Jamie Shen,jmeshen_twitter,2017-05-24T18:41:47.361Z,vuejs/vue,4991
Bill Criswell,crswll,2017-05-24T20:38:40.897Z,vuejs/vue,2410
Byron Ferguson,byronferguson,2017-05-26T15:14:28.042Z,vuejs/vue,5248
Bill Criswell,crswll,2017-05-29T22:25:18.452Z,vuejs/vue,5578
Tim Wisniewski,timwis,2017-06-01T10:20:26.975Z,vuejs/vue,5234
iamdade,iamdade,2017-06-01T13:54:56.006Z,vuejs/vue,2364
Tim Wisniewski,timwis,2017-06-02T09:48:09.488Z,vuejs/vue,5234
